title,price,star_rating,availability,category_Historical Fiction,category_Mystery,category_Travel
It's Only the Himalayas,45.17,2,In stock,0,0,1
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,In stock,0,0,1
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,In stock,0,0,1
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,In stock,0,0,1
Under the Tuscan Sun,37.33,3,In stock,0,0,1
A Summer In Europe,44.34,2,In stock,0,0,1
The Great Railway Bazaar,30.54,1,In stock,0,0,1
A Year in Provence (Provence #1),56.88,4,In stock,0,0,1
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,In stock,0,0,1
Neither Here nor There: Travels in Europe,38.95,3,In stock,0,0,1
"1,000 Places to See Before You Die",26.08,5,In stock,0,0,1
Sharp Objects,47.82,4,In stock,0,1,0
"In a Dark, Dark Wood",19.63,1,In stock,0,1,0
The Past Never Ends,56.5,4,In stock,0,1,0
A Murder in Time,16.64,1,In stock,0,1,0
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,In stock,0,1,0
The Last Mile (Amos Decker #2),54.21,2,In stock,0,1,0
That Darkness (Gardiner and Renner #1),13.92,1,In stock,0,1,0
Tastes Like Fear (DI Marnie Rome #3),10.69,1,In stock,0,1,0
A Time of Torment (Charlie Parker #14),48.35,5,In stock,0,1,0
A Study in Scarlet (Sherlock Holmes #1),16.73,2,In stock,0,1,0
Poisonous (Max Revere Novels #3),26.8,3,In stock,0,1,0
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,In stock,0,1,0
Most Wanted,35.28,3,In stock,0,1,0
Hide Away (Eve Duncan #20),11.84,1,In stock,0,1,0
Boar Island (Anna Pigeon #19),59.48,3,In stock,0,1,0
The Widow,27.26,2,In stock,0,1,0
Playing with Fire,13.71,3,In stock,0,1,0
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,In stock,0,1,0
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,In stock,0,1,0
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,In stock,0,1,0
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,In stock,0,1,0
In the Woods (Dublin Murder Squad #1),38.38,2,In stock,0,1,0
The Silkworm (Cormoran Strike #2),23.05,5,In stock,0,1,0
The Exiled,43.45,3,In stock,0,1,0
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,In stock,0,1,0
Extreme Prey (Lucas Davenport #26),25.4,3,In stock,0,1,0
Career of Evil (Cormoran Strike #3),24.72,2,In stock,0,1,0
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,In stock,0,1,0
The Girl You Lost,12.29,5,In stock,0,1,0
The Girl In The Ice (DCI Erika Foster #1),15.85,3,In stock,0,1,0
Blood Defense (Samantha Brinkman #1),20.3,3,In stock,0,1,0
1st to Die (Women's Murder Club #1),53.98,1,In stock,0,1,0
Tipping the Velvet,53.74,1,In stock,1,0,0
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,In stock,1,0,0
A Flight of Arrows (The Pathfinders #2),55.53,5,In stock,1,0,0
The House by the Lake,36.95,1,In stock,1,0,0
Mrs. Houdini,30.25,5,In stock,1,0,0
The Marriage of Opposites,28.08,4,In stock,1,0,0
Glory over Everything: Beyond The Kitchen House,45.84,3,In stock,1,0,0
"Love, Lies and Spies",20.55,2,In stock,1,0,0
A Paris Apartment,39.01,4,In stock,1,0,0
Lilac Girls,17.28,2,In stock,1,0,0
The Constant Princess (The Tudor Court #1),16.62,3,In stock,1,0,0
The Invention of Wings,37.34,1,In stock,1,0,0
World Without End (The Pillars of the Earth #2),32.97,4,In stock,1,0,0
The Passion of Dolssa,28.32,5,In stock,1,0,0
Girl With a Pearl Earring,26.77,1,In stock,1,0,0
Voyager (Outlander #3),21.07,5,In stock,1,0,0
The Red Tent,35.66,5,In stock,1,0,0
The Last Painting of Sara de Vos,55.55,2,In stock,1,0,0
The Guernsey Literary and Potato Peel Pie Society,49.53,1,In stock,1,0,0
Girl in the Blue Coat,46.83,2,In stock,1,0,0
Between Shades of Gray,20.79,5,In stock,1,0,0
While You Were Mine,41.32,5,In stock,1,0,0
The Secret Healer,34.56,3,In stock,1,0,0
Starlark,25.83,3,In stock,1,0,0
Lost Among the Living,27.7,4,In stock,1,0,0
A Spy's Devotion (The Regency Spies of London #1),16.97,5,In stock,1,0,0
