title,price,star_rating,availability,category_Historical Fiction,category_Mystery,category_Travel
A Spy's Devotion (The Regency Spies of London #1),-1.2051038781822687,1.4605286723213975,In stock,1,0,0
Delivering the Truth (Quaker Midwife Mystery #1),-0.9337594856973364,0.7496518849083279,In stock,0,1,0
Girl With a Pearl Earring,-0.526742896969938,-1.3829784773308806,In stock,1,0,0
The Cuckoo's Calling (Cormoran Strike #1),-1.0500499396194503,-1.3829784773308806,In stock,0,1,0
The Passion of Dolssa,-0.41945110912513056,1.4605286723213975,In stock,1,0,0
The House by the Lake,0.17792187739144252,-1.3829784773308806,In stock,1,0,0
The Last Mile (Amos Decker #2),1.3726678504245882,-0.672101689917811,In stock,0,1,0
The Exiled,0.6278551812567639,0.038775097495258426,In stock,0,1,0
1st to Die (Women's Murder Club #1),1.3567471335185841,-1.3829784773308806,In stock,0,1,0
What Happened on Beale Street (Secrets of the South Mysteries #2),-0.6236516085716994,1.4605286723213975,In stock,0,1,0
A Year in Provence (Provence #1),1.557486607550805,0.7496518849083279,In stock,0,0,1
The Guernsey Literary and Potato Peel Pie Society,1.0487158716415568,-1.3829784773308806,In stock,1,0,0
The Girl In The Ice (DCI Erika Foster #1),-1.2826308474636778,0.038775097495258426,In stock,0,1,0
"Love, Lies and Spies",-0.957294458514907,-0.672101689917811,In stock,1,0,0
A Flight of Arrows (The Pathfinders #2),1.464038921363392,1.4605286723213975,In stock,1,0,0
A Time of Torment (Charlie Parker #14),0.9670356718629292,1.4605286723213975,In stock,0,1,0
World Without End (The Pillars of the Earth #2),-0.09757574559070842,0.7496518849083279,In stock,1,0,0
The Girl You Lost,-1.5290558569653,1.4605286723213975,In stock,0,1,0
Boar Island (Anna Pigeon #19),1.737459929096933,0.038775097495258426,In stock,0,1,0
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),1.6142474243461225,0.7496518849083279,In stock,0,1,0
The Past Never Ends,1.5311828144017552,0.7496518849083279,In stock,0,1,0
Glory over Everything: Beyond The Kitchen House,0.7932921960626284,0.038775097495258426,In stock,1,0,0
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,0.17722967230857242,-0.672101689917811,In stock,0,0,1
That Darkness (Gardiner and Renner #1),-1.4162264284575348,-1.3829784773308806,In stock,0,1,0
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),-0.7731679064715601,-1.3829784773308806,In stock,0,0,1
The Invention of Wings,0.20491787562336183,-1.3829784773308806,In stock,1,0,0
The Great Railway Bazaar,-0.26578158072805164,-1.3829784773308806,In stock,0,0,1
Extreme Prey (Lucas Davenport #26),-0.6215749933230904,0.038775097495258426,In stock,0,1,0
Between Shades of Gray,-0.9406815365260337,1.4605286723213975,In stock,1,0,0
Lost Among the Living,-0.4623678242630536,0.7496518849083279,In stock,1,0,0
The Murder of Roger Ackroyd (Hercule Poirot #4),0.672848511643296,0.7496518849083279,In stock,0,1,0
Playing with Fire,-1.4307627351977992,0.038775097495258426,In stock,0,1,0
Blood Defense (Samantha Brinkman #1),-0.9745995855866502,0.038775097495258426,In stock,0,1,0
The Widow,-0.49282484790932135,-0.672101689917811,In stock,0,1,0
The Marriage of Opposites,-0.4360640311140041,0.7496518849083279,In stock,1,0,0
Hide Away (Eve Duncan #20),-1.5602050856944378,-1.3829784773308806,In stock,0,1,0
Voyager (Outlander #3),-0.9212997942056813,1.4605286723213975,In stock,1,0,0
Girl in the Blue Coat,0.8618204992667308,-0.672101689917811,In stock,1,0,0
Sharp Objects,0.9303488024708337,0.7496518849083279,In stock,0,1,0
In the Woods (Dublin Murder Squad #1),0.2769072042418132,-0.672101689917811,In stock,0,1,0
The Secret Healer,0.012484862585578137,0.038775097495258426,In stock,1,0,0
Starlark,-0.5918101747596923,0.038775097495258426,In stock,1,0,0
Career of Evil (Cormoran Strike #3),-0.6686449389582317,-0.672101689917811,In stock,0,1,0
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),1.2404566795964704,1.4605286723213975,In stock,0,1,0
Tipping the Velvet,1.3401342115297112,-1.3829784773308806,In stock,1,0,0
While You Were Mine,0.48041549860551225,1.4605286723213975,In stock,1,0,0
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,1.0417938208128594,0.7496518849083279,In stock,0,0,1
Lilac Girls,-1.1836455206133072,-0.672101689917811,In stock,1,0,0
Poisonous (Max Revere Novels #3),-0.5246662817213288,0.038775097495258426,In stock,0,1,0
See America: A Celebration of Our National Parks & Treasured Sites,1.0030303361721546,0.038775097495258426,In stock,0,0,1
Most Wanted,0.06232362855219828,0.038775097495258426,In stock,0,1,0
A Study in Scarlet (Sherlock Holmes #1),-1.221716800171142,-0.672101689917811,In stock,0,1,0
The Last Painting of Sara de Vos,1.4654233315291312,-0.672101689917811,In stock,1,0,0
A Murder in Time,-1.2279466459169697,-1.3829784773308806,In stock,0,1,0
A Paris Apartment,0.3205161244626056,0.7496518849083279,In stock,1,0,0
